"Duration..in.seconds."	"ResponseId"	"age"	"sex"	"sex_3_TEXT"	"eth"	"eth_9_TEXT"	"rel"	"rel_8_TEXT"	"conLib_1"	"conLib_2"	"sdo_1"	"sdo_2"	"sdo_3"	"sdo_4"	"sdo_5"	"sdo_6"	"sdo_7"	"sdo_8"	"rwa_1"	"rwa_2"	"rwa_3"	"rwa_4"	"rwa_5"	"rwa_6"	"rwa_7"	"rwa_8"	"rwa_9"	"pols_1"	"pols_2"	"pols_3"	"pols_4"	"pols_5"	"beth_1"	"beth_2"	"beth_3"	"beth_4"	"bethSym1_4"	"stanley_1"	"stanley_2"	"stanley_3"	"stanley_4"	"stanleySym1_1"	"tina_1"	"tina_2"	"tina_3"	"tina_4"	"tinaSym1_1"	"speaker_1"	"speaker_2"	"speaker_3"	"speaker_4"	"speakerSym1_1"	"bethCheck"	"bethSRel"	"bethSwitch_1"	"bethSwitch_2"	"bethSwitch_3"	"bethSwitch_4"	"bethSym2_1"	"stanleyCheck"	"stanleySRel"	"stanleySwitch_1"	"stanleySwitch_2"	"stanleySwitch_3"	"stanleySwitch_4"	"stanleySym2_1"	"tinaCheck"	"tinaSRel"	"tinaSwitch_1"	"tinaSwitch_2"	"tinaSwitch_3"	"tinaSwitch_4"	"tinaSym2_1"	"speakerCheck"	"speakerSRel"	"speakerSwitch_1"	"speakerSwitch_2"	"speakerSwitch_3"	"speakerSwitch_4"	"speakerSym2_1"	"box"	"leftFirst"	"order"	"mTurkCode"	"team"	"id"	"sdo"	"sdo_level"	"SDO"	"lsdo"	"slsdo"	"apc_1"	"apc_2"	"frs_1"	"frs_2"	"frs_3"	"rwa"	"apc"	"bethAtt"	"tinaAtt"	"stanleyAtt"	"speakerAtt"	"totalAtt"	"beth"	"bethSwitch"	"tina"	"tinaSwitch"	"speaker"	"speakerSwitch"	"stanley"	"stanleySwitch"	"liked2"	"liked2_2"	"sdo_level2"	"message"	"sdo_level2c"	"bethDiff"	"tinaDiff"	"stanDiff"	"speaDiff"
"665"	"R_AaFUrZ4rgcG88V3"	63	"Female"	""	"Caucasian"	""	"Christianity"	""	"49"	"50"	0	0	2	2	0	0	2	2	5	8	5	3	"1 Strongly disagree"	"2 Disagree"	"7 Strongly agree"	"2 Disagree"	"1 Strongly disagree"	-15	30	-6	-39	-64	3	5	5	4	"7"	7	7	6	6	"0"	6	5	3	6	"-11"	2	3	3	5	"8"	"Republicans"	"Not at all"	3	5	5	5	"0"	"Donald Trump"	"Not at all"	6	5	6	5	"12"	"People are too insensitive about race and gender"	"Not at all"	5	5	2	5	"-8"	"Support of multiculturalism"	"Not at all"	1	3	3	3	"11"	""	"1"	"17"	"7526780"	"reps"	11	1	"low"	-1.63125	0	-0.798796627708778	0	7	6	1	0	5.25	3.5	1	1	1	1	4	4.25	4.5	5	4.25	3.25	2.5	6.5	5.5	1	1.63125	"low"	1	-1	0.25	-0.75	-1	-0.75
"459"	"R_RQs92HtBkhBphO9"	31	"Male"	""	"Caucasian"	""	"Christianity"	""	"44"	"0"	3	2	6	5	2	2	6	5	2	6	3	3	"4 Neutral"	"3 Slightly disagree"	"7 Strongly agree"	"3 Slightly disagree"	"3 Slightly disagree"	-58	31	31	-76	-58	4	5	3	4	"-2"	7	6	6	7	"48"	4	2	5	4	"-6"	5	7	7	7	"15"	"Democrats"	"&nbsp;"	7	5	7	7	"15"	"Hillary Clinton"	"&nbsp;"	7	7	7	7	"23"	"People are too sensitive about race and gender"	"&nbsp;"	4	4	4	3	"1"	"Opposition to multiculturalism"	"&nbsp;"	4	7	7	6	"19"	"it was fun"	"0"	"15"	"5674514"	"reps"	12	3.875	"high"	1.24375	1.35454566280531	0.555749035096532	3	6	6	2	2	3.5	4.5	1	1	1	1	4	4	6.5	3.75	3.75	6.5	6	6.5	7	1	1.24375	"high"	-1	1	2.5	0	0.5	-0.5
"759"	"R_2PBVyQTdlRLtffM"	37	"Female"	""	"Caucasian"	""	"Christianity"	""	"42"	"15"	5	4	7	7	5	6	8	4	2	8	6	5	"7 Strongly agree"	"7 Strongly agree"	"7 Strongly agree"	"7 Strongly agree"	"5 Slightly agree"	-73	17	73	-98	-85	5	7	7	7	"90"	7	6	7	3	"0"	6	7	6	7	"90"	5	6	7	7	"90"	"Democrats"	"&nbsp;"	5	7	7	7	"-19"	"Hillary Clinton"	"&nbsp;"	7	6	7	3	"-44"	"People are too sensitive about race and gender"	"&nbsp;"	6	7	6	7	"-44"	"Opposition to multiculturalism"	"&nbsp;"	5	6	7	7	"0"	""	"0"	"20"	"7956693"	"reps"	13	5.75	"high"	3.11875	1.74919985480926	0.950403227100481	6	2	6	6	4	5.25	4	1	1	1	1	4	6.5	6.5	6.5	6.5	6.25	6.25	5.75	5.75	1	3.11875	"high"	-1	1	0	0	0	0
"160"	"R_3oRUmwDKxgXuUD6"	33	"Male"	""	"Asian"	""	"Christianity"	""	"14"	"6"	3	3	4	4	3	4	5	4	4	5	4	4	"4 Neutral"	"5 Slightly agree"	"4 Neutral"	"7 Strongly agree"	"6 Agree"	23	78	92	-100	-35	2	3	5	2	"13"	3	5	5	4	"-46"	1	2	6	2	"-78"	1	3	2	6	"-35"	"Democrats"	""	5	6	2	6	"-30"	"Donald Trump"	"Not at all"	3	5	5	2	"17"	"Affirmative action is unfair"	"Not at all"	3	2	6	3	"9"	"Support of multiculturalism"	"&nbsp;"	1	2	3	6	"31"	""	"1"	"3"	"3778337"	"reps"	14	3.75	"high"	1.11875	1.32175583998232	0.522959212273541	3	4	3	6	5	4.25	3.5	0	0	1	1	2	3	4.75	2.75	3.5	3	3	4.25	3.75	-1	-1.11875	"high"	1	1	1.75	0.75	-0.5	0
"503"	"R_1Nfb753AS3uiNZ3"	52	"Male"	""	"Caucasian"	""	"Christianity"	""	"11"	"-12"	2	3	6	5	3	3	7	3	5	7	5	0	"6 Agree"	"1 Strongly disagree"	"6 Agree"	"6 Agree"	"2 Disagree"	-94	85	87	-99	-85	3	5	4	5	"0"	5	6	6	6	"0"	5	6	2	2	"0"	5	7	7	6	"0"	"Republicans"	"Not at all"	3	5	4	5	"0"	"Donald Trump"	"Not at all"	5	6	6	6	"0"	"People are too insensitive about race and gender"	"Not at all"	5	5	2	3	"0"	"Support of multiculturalism"	"Not at all"	4	6	6	6	"0"	""	"1"	"13"	"245848"	"reps"	15	4	"high"	1.36875	1.38629436111989	0.587497733411112	5	8	5	5	1	4.25	6.5	1	1	1	1	4	4.25	4.25	3.75	3.75	6.25	5.5	5.75	5.75	-1	-1.36875	"high"	1	1	0	0	0	-0.75
"624"	"R_ekZeC2DoACd38pH"	47	"Male"	""	"Caucasian"	""	"Christianity"	""	"50"	"47"	6	6	8	8	6	6	8	8	6	8	6	6	"7 Strongly agree"	"7 Strongly agree"	"7 Strongly agree"	"7 Strongly agree"	"1 Strongly disagree"	-100	100	100	-100	-100	7	7	7	7	"100"	7	7	7	7	"100"	7	7	5	7	"100"	5	7	7	7	"100"	"Democrats"	"To a large extent"	5	1	3	4	"-100"	"Hillary Clinton"	"To a large extent"	1	3	1	7	"-100"	"People are too sensitive about race and gender"	"&nbsp;"	6	7	3	5	"-64"	"Opposition to multiculturalism"	"To a large extent"	4	3	6	5	"-72"	"You Euros are to be blamed for much of this PC madness. In a sane world, you would be in camps right now, showering next to your lovable Muslims."	"0"	"18"	"2776773"	"reps"	16	7	"high"	4.36875	1.94591014905531	1.14711352134653	6	2	6	6	0	6.5	4	1	1	1	1	4	7	3.25	6.5	5.25	6.5	4.5	7	3	1	4.36875	"high"	-1	1	-3.75	-1.25	-4	-2
"632"	"R_1IplHrrfZJZBTjG"	58	"Female"	""	"Caucasian"	""	"Atheist"	""	"40"	"34"	5	0	2	3	6	4	4	4	6	8	5	4	"1 Strongly disagree"	"7 Strongly agree"	"7 Strongly agree"	"7 Strongly agree"	"7 Strongly agree"	0	100	65	-100	-100	1	7	7	7	"89"	1	1	1	1	"82"	7	7	1	7	"86"	5	7	1	7	"81"	"Democrats"	"To some extent"	1	7	7	7	"81"	"Hillary Clinton"	"To some extent"	1	1	1	1	"78"	"People are too sensitive about race and gender"	"&nbsp;"	7	7	1	1	"79"	"Opposition to multiculturalism"	"To some extent"	5	7	1	7	"81"	""	"0"	"9"	"7380393"	"reps"	17	3.5	"high"	0.86875	1.25276296849537	0.45396634078659	0	2	6	6	6	5.75	1	1	1	1	1	4	5.5	5.5	5.5	4	5	5	1	1	1	0.86875	"high"	-1	1	0	-1.5	0	0
"802"	"R_x5X9ccgAkHAqf4d"	28	"Male"	""	"African American"	""	"Christianity"	""	"-3"	"-13"	2	0	3	5	2	2	3	4	3	4	2	2	"1 Strongly disagree"	"5 Slightly agree"	"7 Strongly agree"	"2 Disagree"	"5 Slightly agree"	-22	-67	-87	-17	0	3	5	7	6	"63"	4	2	4	3	"-30"	4	5	2	4	"0"	5	5	6	7	"0"	"Republicans"	"To some extent"	3	6	6	6	"-4"	"Donald Trump"	"To some extent"	4	2	3	3	"-14"	"People are too sensitive about race and gender"	"&nbsp;"	3	5	2	4	"0"	"Support of multiculturalism"	"Not at all"	2	5	6	7	"0"	"Thank you!"	"1"	"2"	"668152"	"reps"	18	2.625	"medium"	-0.00625000000000009	0.965080896043587	0.166284268334809	0	4	6	1	4	2.75	2	1	0	1	1	3	5.25	5.25	3.75	3.5	5.75	5	3.25	3	1	0.00625000000000009	"low"	1	-1	0	-0.25	-0.25	-0.75
"782"	"R_2wcnEqPt7uptso8"	39	"Female"	""	"Caucasian"	""	"Christianity"	""	"50"	"39"	5	5	7	7	5	5	7	7	1	7	3	5	"6 Agree"	"2 Disagree"	"6 Agree"	"6 Agree"	"2 Disagree"	-100	-100	40	-100	-100	6	6	6	6	"-10"	6	6	6	6	"0"	2	2	2	2	"0"	4	6	6	6	"0"	"Republicans"	"Not at all"	6	6	6	6	"-10"	"Donald Trump"	"Not at all"	6	6	6	6	"0"	"People are too insensitive about race and gender"	"Not at all"	2	2	2	2	"0"	"Support of multiculturalism"	"Not at all"	4	6	6	6	"0"	"Thank you! I wish you well with your research!
"	"1"	"15"	"5430933"	"reps"	19	6	"high"	3.36875	1.79175946922805	0.992962841519277	5	7	5	5	1	4	6	1	1	1	1	4	6	6	2	2	5.5	5.5	6	6	-1	-3.36875	"high"	1	1	0	0	0	0
"737"	"R_74KsHyqlZfzQivn"	53	"Female"	""	"Caucasian"	""	"Spiritual, but not affiliated with an organized religion"	""	"31"	"32"	3	2	5	4	4	4	5	5	4	6	2	4	"7 Strongly agree"	"6 Agree"	"7 Strongly agree"	"7 Strongly agree"	"5 Slightly agree"	-70	32	75	-100	-100	5	5	6	5	"10"	6	6	5	5	"22"	7	6	3	5	"40"	4	5	6	6	"60"	"Democrats"	"&nbsp;"	5	5	6	5	"33"	"Hillary Clinton"	"&nbsp;"	6	6	5	5	"16"	"People are too sensitive about race and gender"	"&nbsp;"	6	6	3	6	"33"	"Support of multiculturalism"	"&nbsp;"	4	4	5	5	"0"	""	"0"	"16"	"3954219"	"reps"	20	4	"high"	1.36875	1.38629436111989	0.587497733411112	6	3	6	6	4	4	4.5	1	1	1	0	3	5.25	5.25	5.25	5.25	5.25	4.5	5.5	5.5	1	1.36875	"high"	-1	1	0	0	0	-0.75
"701"	"R_3R7pNYloqqwiD9f"	44	"Female"	""	"Caucasian"	""	"Christianity"	""	"34"	"35"	3	4	3	3	4	2	4	3	5	8	4	5	"5 Slightly agree"	"6 Agree"	"6 Agree"	"5 Slightly agree"	"5 Slightly agree"	-97	-96	94	-100	-97	2	6	6	6	"0"	7	7	7	7	"0"	2	2	1	1	"0"	2	4	3	5	"0"	"Democrats"	"Not at all"	3	6	6	6	"0"	"Hillary Clinton"	"Not at all"	7	7	7	6	"0"	"People are too sensitive about race and gender"	"Not at all"	3	5	1	3	"0"	"Support of multiculturalism"	"Not at all"	3	3	3	5	"0"	"Thanks for letting me participate."	"0"	"1"	"4928905"	"reps"	21	3.25	"high"	0.61875	1.17865499634165	0.379858368632868	4	3	5	4	4	5.5	3.5	1	1	1	0	3	5	5.25	1.5	3	3.5	3.5	7	6.75	1	0.61875	"high"	-1	1	0.25	1.5	-0.25	0
"879"	"R_26a74LusCCO2l81"	34	"Male"	""	"Caucasian"	""	"Buddhism"	""	"0"	"13"	2	2	3	2	2	2	3	4	4	2	4	0	"7 Strongly agree"	"7 Strongly agree"	"7 Strongly agree"	"5 Slightly agree"	"4 Neutral"	-81	-77	-76	-100	-98	3	6	6	4	"0"	1	6	4	4	"0"	4	6	1	2	"0"	2	2	1	2	"-100"	"Republicans"	"&nbsp;"	3	6	5	4	"0"	"Donald Trump"	"&nbsp;"	1	6	2	5	"40"	"People are too sensitive about race and gender"	"To a large extent"	2	7	1	1	"100"	"Support of multiculturalism"	"To a large extent"	5	2	4	7	"100"	"na"	"1"	"1"	"9591405"	"reps"	22	2.5	"medium"	-0.13125	0.916290731874155	0.117494104165377	6	2	6	4	3	2.5	4	1	0	1	1	3	4.75	4.5	3.25	2.75	1.75	4.5	3.75	3.5	1	0.13125	"low"	1	-1	-0.25	-0.5	-0.25	2.75
"434"	"R_1Nsr9k54EcMFyM0"	27	"Female"	""	"Caucasian"	""	"Christianity"	""	"25"	"6"	0	0	2	2	1	2	3	3	5	7	1	1	"7 Strongly agree"	"6 Agree"	"7 Strongly agree"	"7 Strongly agree"	"6 Agree"	-70	-2	5	-75	-10	3	6	6	7	"25"	3	3	2	2	"-85"	6	6	6	7	"100"	5	5	6	5	"0"	"Democrats"	"Not at all"	3	7	6	7	"-5"	"Hillary Clinton"	"Not at all"	3	2	2	2	"0"	"People are too sensitive about race and gender"	"Not at all"	7	6	6	7	"0"	"Opposition to multiculturalism"	"Not at all"	5	5	6	5	"-5"	"Thank you for letting me take part!"	"0"	"2"	"1087219"	"reps"	23	1.625	"low"	-1.00625	0.485507815781701	-0.313288811927077	6	3	6	6	5	3.5	4.5	1	1	1	1	4	5.5	5.75	6.25	6.5	5.25	5.25	2.5	2.25	-1	-1.00625	"low"	-1	-1	0.25	0.25	-0.25	0
"764"	"R_YXlo66btTW9KaRP"	64	"Male"	""	"Caucasian"	""	"Christianity"	""	"36"	"35"	4	1	3	2	1	1	3	2	4	6	2	2	"7 Strongly agree"	"2 Disagree"	"7 Strongly agree"	"5 Slightly agree"	"5 Slightly agree"	-89	71	84	-99	-89	2	6	6	6	"-33"	1	1	1	7	"-45"	7	7	1	1	"23"	5	7	7	7	"-57"	"Republicans"	"Not at all"	2	6	1	6	"26"	"Donald Trump"	"Not at all"	1	1	1	7	"-27"	"People are too insensitive about race and gender"	"Not at all"	7	7	1	1	"-32"	"Support of multiculturalism"	"Not at all"	5	6	7	7	"-18"	""	"1"	"6"	"6344820"	"reps"	24	2.125	"medium"	-0.50625	0.75377180237638	-0.045024825332398	6	7	6	4	4	3.5	6.5	1	1	1	1	4	5	3.75	4	4	6.5	6.25	2.5	2.5	1	0.50625	"low"	1	-1	-1.25	0	0	-0.25
"782"	"R_2ByrzX4fyHAVnD6"	58	"Female"	""	"Caucasian"	""	"Christianity"	""	"39"	"40"	1	0	3	3	4	1	5	5	4	7	4	2	"5 Slightly agree"	"2 Disagree"	"6 Agree"	"5 Slightly agree"	"1 Strongly disagree"	-100	88	55	-100	-100	3	6	1	6	"-80"	2	2	2	2	"-85"	5	5	1	3	"-100"	5	5	5	7	"-100"	"Republicans"	"Not at all"	3	6	4	6	"39"	"Donald Trump"	"Not at all"	2	3	3	2	"39"	"People are too insensitive about race and gender"	"Not at all"	5	6	1	3	"82"	"Support of multiculturalism"	"Not at all"	5	4	5	7	"-42"	""	"1"	"2"	"8923622"	"reps"	25	2.75	"medium"	0.11875	1.01160091167848	0.212804283969702	4	7	5	4	0	4.25	5.5	1	1	1	1	4	4	4.75	3.5	3.75	5.5	5.25	2	2.5	-1	-0.11875	"high"	1	1	0.75	0.25	0.5	-0.25
