"Duration..in.seconds."	"ResponseId"	"UserLanguage"	"age"	"sex"	"sex_3_TEXT"	"eth"	"eth_9_TEXT"	"rel"	"rel_8_TEXT"	"religiousity"	"soulBelief"	"conLib_1"	"conLib_2"	"sdo_1"	"sdo_2"	"sdo_3"	"sdo_4"	"sdo_5"	"sdo_6"	"sdo_7"	"sdo_8"	"AQ_1"	"AQ_2"	"AQ_3"	"AQ_4"	"AQ_5"	"AQ_6"	"AQ_7"	"AQ_8"	"AQ_9"	"AQ_10"	"riley1_1"	"riley1_2"	"riley1_3"	"casey1_1"	"casey1_2"	"casey1_3"	"rcCheck"	"riley2_1"	"riley2_2"	"riley2_3"	"casey2_1"	"casey2_2"	"casey2_3"	"rcRel"	"abortion"	"guns"	"life2"	"conscious2"	"arm2"	"finger2"	"finger"	"arm"	"conscious"	"life"	"box"	"leftFirst"	"sacrificead"	"mTurkCode"	"team"	"id"	"sdo"	"sdo_level"	"SDO"	"libCon"	"att"	"riley1"	"casey1"	"RiCa1"	"message"	"cRel"	"Rel"	"riley2"	"casey2"
"390"	"R_3EYn5zQs68pjVr2"	"EN"	37	"Male"	""	"Caucasian"	""	"Christianity"	""	"Quite religious"	"Yes, definitely"	-21	25	5	5	4	3	6	4	3	2	"3 Slightly Agree"	"2 Slightly Disagree"	"3 Slightly Agree"	"4 Definitely Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"4 Definitely Agree"	"3 Slightly Agree"	4	4	3	5	3	4	"Liberal"	5	4	3	4	3	3	""	"Strongly pro life"	"Strongly pro gun"	""	""	""	""	"12"	"12"	"1"	"1"	""	"1"	"1"	"3007952"	"reps"	12	4	"high"	1.38485221674877	0.2	1	3.66666666666667	4	3.83333333333333	-1	""	5	4	3.33333333333333
"417"	"R_28MUok7VB12eP4L"	"EN"	59	"Male"	""	"Caucasian"	""	"Christianity"	""	"Quite religious"	"Yes, definitely"	42	42	5	2	2	4	6	6	6	6	"3 Slightly Agree"	"2 Slightly Disagree"	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"2 Slightly Disagree"	"1 Definitely Disagree"	"2 Slightly Disagree"	"2 Slightly Disagree"	2	2	2	6	6	6	"Conservative"	2	2	2	6	6	6	"5"	"Strongly pro life"	"Strongly pro gun"	""	""	""	""	"1"	"1"	"1"	"1"	"no problems"	"0"	"1"	"3725397"	"reps"	13	4.625	"high"	2.00985221674877	4.2	1	2	6	2	1	"5"	2	2	6
"417"	"R_2yjBIcw2o3mrqqt"	"EN"	56	"Female"	""	"Caucasian"	""	"Christianity"	""	"Quite religious"	"Yes, definitely"	30	32	3	5	2	2	2	2	2	2	"3 Slightly Agree"	"2 Slightly Disagree"	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"4 Definitely Agree"	"2 Slightly Disagree"	"1 Definitely Disagree"	"3 Slightly Agree"	"2 Slightly Disagree"	1	1	1	7	7	7	"Conservative"	1	1	1	7	7	7	"Not at all"	"Pro life"	"Strongly pro gun"	"infinite"	"infinite"	"infinite"	"infinite"	""	""	""	""	""	"0"	"0"	"5937534"	"reps"	14	2.5	"medium"	-0.115147783251231	3.1	1	1	7	1	1	"Not at all"	1	1	7
"473"	"R_25XGS0aO4PEuxq9"	"EN"	37	"Female"	""	"Caucasian"	""	"Christianity"	""	"Somewhat religious"	"Unsure"	40	-38	4	4	4	4	4	4	4	4	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"1 Definitely Disagree"	"1 Definitely Disagree"	"3 Slightly Agree"	"1 Definitely Disagree"	1	1	1	7	7	7	"Liberal"	1	1	1	7	7	7	"Not at all"	"Pro life"	"Pro gun"	"infinite "	"infinite "	"infinite "	"infinite "	""	""	""	""	""	"1"	"0"	"5935772"	"reps"	15	4	"high"	1.38485221674877	0.1	1	1	7	1	-1	"Not at all"	1	1	7
"725"	"R_3QFUsneDs3u1EYY"	"EN"	54	"Male"	""	"Caucasian"	""	"Christianity"	""	"Somewhat religious"	"Yes, probably"	26	26	2	1	4	1	6	4	6	4	"2 Slightly Disagree"	"2 Slightly Disagree"	"2 Slightly Disagree"	"3 Slightly Agree"	"3 Slightly Agree"	"4 Definitely Agree"	"1 Definitely Disagree"	"2 Slightly Disagree"	"3 Slightly Agree"	"2 Slightly Disagree"	2	2	1	5	6	6	"Conservative"	2	2	1	6	6	6	"Not at all"	"Pro life"	"Neutral"	"infinite"	"infinite"	"1000000"	"100000"	""	""	""	""	""	"0"	"0"	"4085166"	"reps"	16	3.5	"high"	0.884852216748769	2.6	1	1.66666666666667	5.66666666666667	2	1	"Not at all"	1	1.66666666666667	6
"725"	"R_2qjEOAxrLzt6P33"	"EN"	39	"Male"	""	"Caucasian"	""	"Agnostic"	""	"Not at all religious"	"No, definitely not"	29	-10	1	1	1	1	1	7	7	1	"1 Definitely Disagree"	"4 Definitely Agree"	"4 Definitely Agree"	"4 Definitely Agree"	"4 Definitely Agree"	"4 Definitely Agree"	"1 Definitely Disagree"	"4 Definitely Agree"	"4 Definitely Agree"	"1 Definitely Disagree"	1	1	1	7	7	7	"Liberal"	1	1	1	7	7	7	"Not at all"	"Pro choice"	"Pro gun"	"2"	"2"	"2"	"2"	""	""	""	""	""	"1"	"0"	"3002783"	"reps"	17	2.5	"medium"	-0.115147783251231	0.95	1	1	7	1	-1	"Not at all"	1	1	7
"397"	"R_1EbNdHKGXUu2Hcn"	"EN"	34	"Male"	""	"Asian"	""	"Buddhism"	""	"Somewhat religious"	"Unsure"	41	21	6	6	6	6	6	6	6	5	"3 Slightly Agree"	"3 Slightly Agree"	"2 Slightly Disagree"	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"2 Slightly Disagree"	"3 Slightly Agree"	"3 Slightly Agree"	"2 Slightly Disagree"	2	2	2	6	6	6	"Liberal"	2	2	2	6	6	2	"Not at all"	"Pro life"	"Pro gun"	"infinite"	"infinite"	"infinite"	"infinite"	""	""	""	""	""	"1"	"0"	"9369792"	"reps"	18	5.875	"high"	3.25985221674877	3.1	1	2	6	2	-1	"Not at all"	1	2	4.66666666666667
"656"	"R_2zOatPSiP707yVA"	"EN"	46	"Female"	""	"Caucasian"	""	"Spiritual, but not affiliated with an organized religion"	""	"Quite religious"	"Yes, probably"	37	-36	5	5	2	2	4	3	3	3	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"4 Definitely Agree"	"4 Definitely Agree"	"2 Slightly Disagree"	"3 Slightly Agree"	"3 Slightly Agree"	"1 Definitely Disagree"	2	3	2	2	4	3	"Liberal"	3	4	6	5	3	4	"6"	"Neutral"	"Pro gun"	""	""	""	""	"0"	"0"	"0"	"0"	""	"1"	"1"	"8933057"	"reps"	19	3.375	"high"	0.759852216748769	0.05	1	2.33333333333333	3	3.66666666666667	-1	"6"	3	4.33333333333333	4
"379"	"R_yJhGYGjL7u4WCMV"	"EN"	32	"Female"	""	"Caucasian"	""	"Christianity"	""	"Quite religious"	"Yes, definitely"	19	0	1	1	1	1	2	1	2	1	"3 Slightly Agree"	"3 Slightly Agree"	"2 Slightly Disagree"	"4 Definitely Agree"	"4 Definitely Agree"	"4 Definitely Agree"	"4 Definitely Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"1 Definitely Disagree"	6	6	5	7	4	5	"Conservative"	5	6	5	5	6	6	"Not at all"	"Pro choice"	"Pro gun"	"10000"	"1000000"	"500"	"500"	""	""	""	""	""	"0"	"0"	"3261524"	"reps"	20	1.25	"low"	-1.36514778325123	0.95	1	5.66666666666667	5.33333333333333	4.16666666666667	1	"Not at all"	1	5.33333333333333	5.66666666666667
"559"	"R_1gG9x6QJYCooeJg"	"EN"	31	"Female"	""	"Caucasian"	""	"Agnostic"	""	"Not at all religious"	"Yes, definitely"	35	32	4	4	1	2	1	1	1	1	"3 Slightly Agree"	"3 Slightly Agree"	"2 Slightly Disagree"	"3 Slightly Agree"	"4 Definitely Agree"	"4 Definitely Agree"	"2 Slightly Disagree"	"2 Slightly Disagree"	"4 Definitely Agree"	"1 Definitely Disagree"	6	6	4	7	5	4	"Conservative"	2	3	2	7	6	3	"9"	"Pro life"	"Pro gun"	"1"	"1"	"1"	"1"	""	""	""	""	""	"0"	"0"	"766474"	"reps"	21	1.875	"medium"	-0.740147783251231	3.35	1	5.33333333333333	5.33333333333333	4	1	"9"	6	2.33333333333333	5.33333333333333
"413"	"R_UlQi273GA1Cov1D"	"EN"	56	"Male"	""	"Asian"	""	"Christianity"	""	"Quite religious"	"Yes, definitely"	43	45	4	3	3	1	4	4	3	3	"1 Definitely Disagree"	"4 Definitely Agree"	"4 Definitely Agree"	"3 Slightly Agree"	"4 Definitely Agree"	"3 Slightly Agree"	"2 Slightly Disagree"	"4 Definitely Agree"	"3 Slightly Agree"	"2 Slightly Disagree"	5	3	2	3	5	4	"Conservative"	5	3	3	3	3	3	"To some extent"	"Strongly pro life"	"Strongly pro gun"	""	""	""	""	"0"	"0"	"0"	"0"	""	"0"	"1"	"42068"	"reps"	22	3.125	"medium"	0.509852216748769	4.4	1	3.33333333333333	4	3.66666666666667	1	"To some extent"	4	3.66666666666667	3
"605"	"R_D94H2Te9YRINu7v"	"EN"	44	"Female"	""	"Caucasian"	""	"Atheist"	""	"Not at all religious"	"No, probably not"	8	-16	3	2	2	2	2	2	2	2	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"2 Slightly Disagree"	"2 Slightly Disagree"	"2 Slightly Disagree"	"2 Slightly Disagree"	2	3	3	6	3	6	"Conservative"	2	2	3	6	3	6	"Not at all"	"Pro choice"	"Pro gun"	"Infinite"	"infinite"	"infinite"	"infinite"	""	""	""	""	""	"0"	"0"	"7128484"	"reps"	23	2.125	"medium"	-0.490147783251231	-0.4	1	2.66666666666667	5	2.83333333333333	1	"Not at all"	1	2.33333333333333	5
"206"	"R_3dMTeB1mpG9jFxk"	"EN"	54	"Female"	""	"Caucasian"	""	"Christianity"	""	"Quite religious"	"Yes, definitely"	35	42	4	4	4	4	4	4	4	4	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"2 Slightly Disagree"	"3 Slightly Agree"	"3 Slightly Agree"	"2 Slightly Disagree"	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	4	4	4	4	4	4	"Liberal"	4	4	4	4	4	4	"To some extent"	"Pro life"	"Pro gun"	""	""	""	""	"5"	"1"	"1"	"0"	""	"0"	"1"	"911997"	"reps"	24	4	"high"	1.38485221674877	3.85	0	4	4	4	1	"To some extent"	4	4	4
"822"	"R_1OODbITdfjv4qb5"	"EN"	47	"Female"	""	"Caucasian"	""	"Christianity"	""	"Quite religious"	"Yes, definitely"	40	40	4	4	4	1	7	4	6	4	"3 Slightly Agree"	"2 Slightly Disagree"	"2 Slightly Disagree"	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"2 Slightly Disagree"	"3 Slightly Agree"	"2 Slightly Disagree"	"3 Slightly Agree"	3	3	3	5	5	6	"Conservative"	3	3	3	5	5	6	"Not at all"	"Strongly pro life"	"Strongly pro gun"	"infinite"	"infinite"	"infinite "	"infinite "	""	""	""	""	""	"0"	"0"	"7545225"	"reps"	25	4.25	"high"	1.63485221674877	4	1	3	5.33333333333333	2.83333333333333	1	"Not at all"	1	3	5.33333333333333
"682"	"R_20MrHo4Xe3l4a0O"	"EN"	58	"Female"	""	"Caucasian"	""	"Christianity"	""	"Deeply religious"	"Yes, definitely"	32	26	3	2	5	2	3	2	2	2	"2 Slightly Disagree"	"2 Slightly Disagree"	"3 Slightly Agree"	"4 Definitely Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"1 Definitely Disagree"	"1 Definitely Disagree"	"3 Slightly Agree"	"2 Slightly Disagree"	1	2	2	7	7	7	"Conservative"	1	2	1	7	7	7	"Not at all"	"Strongly pro life"	"Neutral"	""	""	""	""	"0, meaning that I would not want anyone to lose their fingers instead of me. "	"0, I would not want anyone to lose their arms instead of me.  "	"0, I would not want anyone to lose their future conscious instead of me."	"0, I would not want anyone to die instead of me."	"It was hard to understand what to put in for those questions according to your instructions, so I said 0 and then wrote to make it plain what I was saying. :o)  "	"0"	"1"	"4106354"	"reps"	26	2.625	"medium"	0.00985221674876868	2.9	1	1.66666666666667	7	1.33333333333333	1	"Not at all"	1	1.33333333333333	7
"613"	"R_2fizjJ7DTcqtQU8"	"EN"	50	"Male"	""	"African American"	""	"Christianity"	""	"Quite religious"	"Yes, definitely"	7	7	1	4	1	4	3	4	3	3	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"4 Definitely Agree"	"2 Slightly Disagree"	"2 Slightly Disagree"	"3 Slightly Agree"	"2 Slightly Disagree"	6	4	4	4	3	4	"Liberal"	4	4	4	4	4	4	"To some extent"	"Neutral"	"Pro gun"	"INFINITE"	"infinite"	"infinite"	"infinite"	""	""	""	""	""	"1"	"0"	"1984797"	"reps"	27	2.875	"medium"	0.259852216748769	0.7	1	4.66666666666667	3.66666666666667	4.5	-1	"To some extent"	4	4	4
"461"	"R_2yq1SHGBwSG7Kzi"	"EN"	28	"Female"	""	"African American"	""	"Christianity"	""	"Deeply religious"	"Yes, definitely"	18	-50	1	1	1	1	2	2	1	1	"4 Definitely Agree"	"2 Slightly Disagree"	"2 Slightly Disagree"	"1 Definitely Disagree"	"2 Slightly Disagree"	"2 Slightly Disagree"	"2 Slightly Disagree"	"4 Definitely Agree"	"1 Definitely Disagree"	"3 Slightly Agree"	4	4	3	4	1	3	"Conservative"	5	4	3	4	1	3	"6"	"Pro choice"	"Strongly anti gun"	"1"	"1"	"1"	"1"	""	""	""	""	"The study was fine. I guess generally I wish you would have had a progress bar because it makes me anxious to not know how much is left in a survey."	"0"	"0"	"4747689"	"reps"	28	1.25	"low"	-1.36514778325123	-1.6	1	3.66666666666667	2.66666666666667	4.5	1	"6"	3	4	2.66666666666667
"573"	"R_2bIZ4jCJFGN8plD"	"EN"	59	"Female"	""	"Caucasian"	""	"Christianity"	""	"Somewhat religious"	"Yes, probably"	5	4	1	1	1	1	1	1	1	1	"3 Slightly Agree"	"3 Slightly Agree"	"4 Definitely Agree"	"4 Definitely Agree"	"4 Definitely Agree"	"4 Definitely Agree"	"1 Definitely Disagree"	"3 Slightly Agree"	"4 Definitely Agree"	"1 Definitely Disagree"	2	2	2	7	7	7	"Liberal"	1	1	1	7	7	7	"Not at all"	"Pro life"	"Strongly anti gun"	"1"	"1000"	"0"	"0"	""	""	""	""	""	"1"	"0"	"5780928"	"reps"	29	1	"low"	-1.61514778325123	0.45	1	2	7	1.5	-1	"Not at all"	1	1	7
"403"	"R_1gBL1bG2FGUwbMN"	"EN"	58	"Female"	""	"African American"	""	"Christianity"	""	"Deeply religious"	"Yes, probably"	38	27	6	5	4	4	5	4	4	2	"2 Slightly Disagree"	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"2 Slightly Disagree"	"4 Definitely Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"2 Slightly Disagree"	"3 Slightly Agree"	6	3	4	6	3	4	"Conservative"	6	3	4	6	3	4	"9"	"Pro life"	"Neutral"	"infinite"	"infinite"	"1"	"1"	""	""	""	""	""	"1"	"0"	"9832372"	"reps"	30	4.25	"high"	1.63485221674877	3.25	0	4.33333333333333	4.33333333333333	4	-1	"9"	6	4.33333333333333	4.33333333333333
"529"	"R_1mqpj0AhXHYuKBe"	"EN"	57	"Female"	""	"Caucasian"	""	"Christianity"	""	"Somewhat religious"	"Yes, definitely"	21	-4	1	1	1	1	1	1	1	1	"1 Definitely Disagree"	"2 Slightly Disagree"	"3 Slightly Agree"	"4 Definitely Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"2 Slightly Disagree"	"3 Slightly Agree"	"3 Slightly Agree"	"2 Slightly Disagree"	1	2	2	7	7	7	"Conservative"	1	2	2	7	7	7	"Not at all"	"Strongly pro life"	"Strongly anti gun"	""	""	""	""	"infinite"	"200 billion"	"1 million"	"100000"	"interesting"	"0"	"1"	"6594374"	"reps"	31	1	"low"	-1.61514778325123	0.85	1	1.66666666666667	7	1.33333333333333	1	"Not at all"	1	1.66666666666667	7
"540"	"R_2foK0QXhTP3G0SJ"	"EN"	53	"Male"	""	"Caucasian"	""	"Atheist"	""	"Not at all religious"	"No, definitely not"	23	-18	7	7	7	7	6	6	6	3	"3 Slightly Agree"	"4 Definitely Agree"	"4 Definitely Agree"	"4 Definitely Agree"	"4 Definitely Agree"	"4 Definitely Agree"	"1 Definitely Disagree"	"2 Slightly Disagree"	"3 Slightly Agree"	"1 Definitely Disagree"	2	2	2	6	7	7	"Liberal"	2	2	2	6	7	7	"Not at all"	"Neutral"	"Pro gun"	"10"	"10"	"10"	"10"	""	""	""	""	""	"1"	"0"	"8265465"	"reps"	32	6.125	"high"	3.50985221674877	0.25	1	2	6.66666666666667	1.66666666666667	-1	"Not at all"	1	2	6.66666666666667
"411"	"R_1Pb0LKjiNvn9t9p"	"EN"	31	"Male"	""	"Hispanic"	""	"Christianity"	""	"Deeply religious"	"Yes, definitely"	50	50	7	7	1	2	7	6	4	1	"1 Definitely Disagree"	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"3 Slightly Agree"	"1 Definitely Disagree"	"3 Slightly Agree"	"1 Definitely Disagree"	1	7	1	7	7	7	"Liberal"	1	7	1	7	7	7	"Not at all"	"Strongly pro life"	"Strongly pro gun"	""	""	""	""	"4"	"2000"	"60000"	"100000000"	""	"1"	"1"	"6336675"	"reps"	33	4.375	"high"	1.75985221674877	5	1	3	7	2	-1	"Not at all"	1	3	7
