StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,age,sex,sex_3_TEXT,eth,eth_9_TEXT,rel,rel_8_TEXT,conLib_1,conLib_2,sdo_1,sdo_2,sdo_3,sdo_4,sdo_5,sdo_6,sdo_7,sdo_8,sdo_9,sdo_10,sdo_11,sdo_12,sdo_13,sdo_14,sdo_15,sdo_16,sinc_1,introspectiveness_1,introspectiveness_2,introspectiveness_3,introspectiveness_4,introspectiveness_5,introspectiveness_6,introspectiveness_7,introspectiveness_8,introspectiveness_9,introspectiveness2_1,introspectiveness2_2,hon_hum_1,hon_hum_2,hon_hum_3,hon_hum_4,hon_hum_5,hon_hum_6,hon_hum_7,hon_hum_8,hon_hum_9,hon_hum_10,JSS_1,JSS_2,JSS_3,JSS_4,JSS_5,JSS_6,JSS_7,JSS_8,beth_1,beth_2,beth_3,beth_4,bethSym1_4,stanley_1,stanley_2,stanley_3,stanley_4,stanleySym1_1,tina_1,tina_2,tina_3,tina_4,tinaSym1_1,speaker_1,speaker_2,speaker_3,speaker_4,speakerSym1_1,bethCheck,bethSRel,bethSwitch_1,bethSwitch_2,bethSwitch_3,bethSwitch_4,bethSym2_1,stanleyCheck,stanleySRel,stanleySwitch_1,stanleySwitch_2,stanleySwitch_3,stanleySwitch_4,stanleySym2_1,tinaCheck,tinaSRel,tinaSwitch_1,tinaSwitch_2,tinaSwitch_3,tinaSwitch_4,tinaSym2_1,speakerCheck,speakerSRel,speakerSwitch_1,speakerSwitch_2,speakerSwitch_3,speakerSwitch_4,speakerSym2_1,coin,bot,box,leftFirst,order,mTurkCode
2019-06-18 16:51:31,2019-06-18 16:58:49,0,100,437,1,2019-06-18 16:58:49,R_1cTvhBsoVPMGle8,anonymous,EN,35,1,,1,,7,,-8,-13,1,6,6,1,6,5,2,5,5,6,7,6,7,7,6,7,5,5,5,6,5,4,4,5,4,5,2,4,9,9,11,12,10,12,12,11,10,12,12,12,12,11,10,11,10,12,3,5,5,4,41,2,6,6,3,-30,5,5,4,3,58,2,3,2,3,-18,3,4,4,5,5,5,-41,2,4,2,5,5,5,-22,1,1,5,5,4,4,-21,2,1,4,4,4,4,-30,7,"Bots don’t eat,so they won’t have a favorite food.",,1,16,4844537
2019-06-18 16:47:36,2019-06-18 16:58:51,0,100,675,1,2019-06-18 16:58:52,R_C96I8XtZD5ay8xj,anonymous,EN,32,1,,1,,7,,-36,-37,2,2,3,2,6,6,2,6,2,1,2,2,6,6,6,6,6,5,5,5,6,5,4,3,3,2,3,3,13,13,11,9,9,11,9,9,13,12,12,13,13,11,13,10,11,10,6,6,1,1,-82,5,3,3,4,-63,2,5,6,4,-63,3,5,6,5,-82,1,4,6,6,1,1,-43,3,4,5,5,4,4,9,1,3,3,4,6,4,0,2,1,2,4,4,5,20,7,pizza,,0,16,2621687
2019-06-18 16:48:09,2019-06-18 16:58:58,0,100,648,1,2019-06-18 16:58:59,R_3ilN8HPdRSdqP87,anonymous,EN,32,2,,1,,1,,-25,-23,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,5,6,5,6,6,6,6,6,6,4,4,3,10,8,11,10,9,12,12,11,12,9,13,10,12,12,11,12,12,12,6,6,2,2,-94,5,5,5,3,-26,4,4,5,4,-26,5,7,3,2,-69,1,7,5,5,5,5,26,3,4,4,4,4,4,43,1,4,4,4,4,4,27,2,7,2,5,3,5,40,6,Pizza,,0,8,9784444
2019-06-18 16:53:41,2019-06-18 16:59:21,0,100,339,1,2019-06-18 16:59:22,R_1NaUYaOFP9CGUyJ,anonymous,EN,24,1,,1,,6,,-39,-40,4,4,4,4,4,4,5,4,4,5,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,3,3,11,11,11,12,12,11,12,12,11,11,11,11,12,12,11,11,10,11,5,5,5,5,17,4,5,4,4,34,5,4,4,5,47,4,4,5,4,20,3,7,4,4,4,5,13,2,7,4,4,4,4,12,2,5,3,3,3,3,19,2,4,5,4,4,4,20,8,Chicken,,1,10,6507004
2019-06-18 16:50:26,2019-06-18 16:59:23,0,100,537,1,2019-06-18 16:59:24,R_3hnl3tIM8GZhiSK,anonymous,EN,32,1,,1,,7,,-38,-36,3,1,2,1,7,7,5,6,2,3,2,6,6,6,7,6,6,6,7,7,6,6,2,6,6,4,4,4,9,13,9,9,8,9,9,8,9,9,9,9,8,9,9,9,9,9,4,6,2,4,-16,2,6,6,2,-4,4,4,6,3,10,3,4,6,2,-17,1,5,4,4,2,6,0,3,5,2,6,6,2,-1,1,1,4,3,6,3,0,2,2,2,6,6,2,-5,7,tacos,,0,24,3248102
2019-06-18 16:52:54,2019-06-18 16:59:45,0,100,410,1,2019-06-18 16:59:45,R_pa7rVxDluVtdx2p,anonymous,EN,24,2,,1,,1,,3,-30,1,1,1,1,6,1,6,2,1,2,1,1,7,7,6,7,6,6,5,5,6,6,3,5,2,5,3,3,10,10,13,8,9,14,9,9,13,8,8,8,12,13,12,13,13,12,5,5,3,6,-8,5,5,6,5,13,7,6,5,5,50,3,5,6,5,7,3,4,5,5,2,6,11,2,6,5,3,6,5,-20,2,7,3,3,6,3,-43,1,6,4,7,6,5,-41,6,pizza,,1,15,6523434
2019-06-18 16:47:46,2019-06-18 17:00:07,0,100,741,1,2019-06-18 17:00:07,R_33EzPySUn0hVLcU,anonymous,EN,28,2,,1,,8,Judaism,11,-23,2,2,4,2,5,5,5,6,2,3,2,2,5,5,4,5,5,3,5,6,5,5,3,6,5,5,4,3,9,10,9,13,12,13,13,13,9,9,13,12,12,12,11,11,12,11,6,6,2,4,0,3,5,4,2,21,4,5,6,3,0,4,5,4,4,-5,3,4,6,6,2,4,0,2,7,3,2,4,4,-23,2,4,4,5,6,2,-13,1,3,4,4,4,4,-21,6,pizza,,1,14,3854472
2019-06-18 16:48:22,2019-06-18 17:00:16,0,100,713,1,2019-06-18 17:00:16,R_2QQUk3SP1fRcpWo,anonymous,EN,29,1,,7,,7,,-22,-46,2,1,1,1,3,7,7,6,1,1,2,2,6,6,7,6,5,6,6,7,6,6,1,5,3,3,4,4,13,14,9,8,8,14,9,9,13,8,12,12,12,11,12,12,14,13,5,2,3,5,74,3,6,6,5,51,4,6,3,6,67,1,1,2,6,60,3,9,6,2,2,1,-89,2,7,3,5,6,2,-73,2,6,4,2,3,7,-97,1,7,5,5,3,2,-94,7,Sushi,,1,9,5483717
2019-06-18 16:48:05,2019-06-18 17:00:22,0,100,736,1,2019-06-18 17:00:22,R_1l3rugeIfwavyxn,anonymous,EN,43,2,,1,,1,,-50,-50,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,6,6,5,5,5,5,2,2,2,2,3,3,14,14,13,9,9,14,9,8,14,8,8,8,9,9,12,12,13,13,5,6,2,5,-20,1,6,6,2,-20,6,5,6,3,-20,3,6,3,5,-20,1,4,5,6,5,3,-20,3,4,2,6,6,2,-20,1,1,6,5,6,3,-20,2,1,2,5,2,2,-21,5,pasta,,0,3,5329781
2019-06-18 16:50:28,2019-06-18 17:00:28,0,100,599,1,2019-06-18 17:00:29,R_2wNNZbsBgZT8V6G,anonymous,EN,61,2,,1,,5,,-37,-50,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,3,7,7,7,7,7,1,4,5,5,5,5,14,8,10,8,8,14,9,8,14,8,8,12,12,12,8,8,8,8,7,7,1,1,-41,7,1,1,7,-100,7,4,7,4,0,3,7,7,7,-42,1,4,7,7,1,1,-17,3,4,7,1,1,7,-42,1,1,7,1,7,1,0,2,1,1,7,7,7,0,7,Chocolate cheesecake with strawberry glaze,,0,13,5559750
2019-06-18 16:51:27,2019-06-18 17:00:46,0,100,558,1,2019-06-18 17:00:46,R_3Kwm8CKiAWNFOd3,anonymous,EN,33,1,,9,Asian/Caucasian mixed,7,,-43,-22,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,4,5,5,5,6,6,6,3,5,4,2,4,14,10,13,8,9,14,9,8,14,8,11,9,12,9,12,9,13,13,4,6,3,6,0,5,5,5,1,0,7,7,5,6,0,2,3,4,5,-20,1,5,5,6,5,6,0,3,4,5,7,5,2,0,1,2,7,6,6,6,0,2,3,2,2,4,6,0,6,thai curry,,0,16,5046186
2019-06-18 16:53:28,2019-06-18 17:00:52,0,100,444,1,2019-06-18 17:00:53,R_2viU2vl30Mv01uQ,anonymous,EN,34,2,,1,,3,,-25,-25,1,1,2,2,6,7,5,6,4,3,2,4,6,4,5,4,5,5,7,6,6,6,1,5,6,3,4,4,9,13,12,8,13,12,12,11,10,11,11,11,11,11,12,12,14,12,4,5,5,7,-12,7,2,7,4,0,7,7,5,6,0,3,5,5,5,0,1,4,2,5,4,7,-17,3,4,7,2,7,2,0,1,1,7,7,5,6,0,1,1,1,5,5,4,0,7,My vacuum robot does in fact eat food. But my favorite is avocado!,Have a great day!,0,5,6084092
2019-06-18 16:48:02,2019-06-18 17:01:22,0,100,800,1,2019-06-18 17:01:23,R_2RODJdeiYg1YJKe,anonymous,EN,64,2,,1,,5,,-16,-16,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,6,7,7,7,6,6,7,5,6,5,5,5,14,8,11,8,8,14,13,8,14,8,8,8,13,13,13,14,14,14,6,5,7,7,40,2,4,6,7,-83,7,7,4,4,100,1,2,1,7,100,3,4,6,6,7,7,-83,2,4,2,5,5,7,-83,2,4,5,7,4,4,-62,1,4,4,7,1,7,-100,7,cheese sandwich,,1,9,9969552
2019-06-18 16:47:31,2019-06-18 17:01:33,0,100,842,1,2019-06-18 17:01:34,R_PGo8SQl4ZB6PISR,anonymous,EN,30,1,,3,,6,,-50,-50,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,2,4,5,4,6,5,3,4,2,3,3,4,14,12,10,8,8,13,10,9,14,13,13,13,13,13,13,13,13,13,6,6,2,2,-20,1,6,7,4,0,3,3,6,2,0,2,6,4,3,-5,1,4,6,6,6,3,-6,3,4,1,6,5,4,-7,1,2,3,3,6,2,0,2,2,2,6,4,2,0,9,mcdonaldsfries,,0,24,115992
2019-06-18 16:48:30,2019-06-18 17:01:48,0,100,797,1,2019-06-18 17:01:49,R_1CEi9mRCjua6Rl6,anonymous,EN,53,1,,1,,6,,-50,-50,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,6,5,5,6,6,5,2,5,3,4,3,3,13,8,9,9,9,13,10,9,13,8,9,9,12,12,10,9,12,13,5,5,6,5,56,2,7,6,2,76,7,7,6,6,20,1,3,1,7,76,3,5,5,6,6,5,-31,2,5,2,6,5,2,0,2,2,7,7,6,6,-46,1,6,6,6,2,2,-65,8,kimchi,,1,6,4869430
2019-06-18 16:51:05,2019-06-18 17:01:51,0,100,645,1,2019-06-18 17:01:51,R_3suH7i84mHCevjG,anonymous,EN,67,1,,1,,2,,-50,-50,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,7,6,6,6,6,4,2,5,5,5,4,3,14,8,12,8,8,14,10,8,14,8,9,9,13,11,12,12,14,13,6,7,1,2,-100,2,6,2,2,-100,3,6,5,3,-100,2,2,6,6,-100,1,9,6,6,2,1,100,3,9,2,6,2,2,100,1,6,6,6,6,6,100,2,6,2,2,6,6,100,6,potatoes,thanks,0,11,426339
2019-06-18 16:48:26,2019-06-18 17:02:23,0,100,837,1,2019-06-18 17:02:24,R_2hFdbbDnjcmzNn3,anonymous,EN,35,1,,1,,1,,-50,-50,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,7,6,7,7,7,7,4,7,7,7,5,5,11,8,12,8,14,8,8,11,8,8,14,8,14,14,14,14,14,14,4,4,1,7,100,1,1,7,7,-100,1,7,7,7,0,1,7,7,7,0,3,4,4,4,7,7,0,2,4,1,1,7,7,-100,2,1,1,7,7,7,0,1,7,7,7,7,1,-100,6,"I love Indian food. Specifically, I love eggplant bharta with samosas and mint chutney. ",Thanks!,1,20,793943
2019-06-18 16:51:47,2019-06-18 17:02:31,0,100,643,1,2019-06-18 17:02:32,R_2Sf7Gv9pU3HMFAf,anonymous,EN,35,2,,1,,1,,-9,-6,2,3,3,4,5,7,6,5,3,4,3,4,6,5,5,4,5,6,6,6,6,6,6,6,6,6,4,4,10,11,10,9,9,11,11,10,10,11,11,12,11,11,12,12,12,12,4,5,3,6,-12,4,4,3,5,-17,2,4,5,4,-30,2,4,3,6,-41,1,6,5,4,3,6,-14,3,6,4,3,4,5,-8,1,3,3,4,6,4,13,2,3,2,4,3,6,20,7,chocolate,,0,1,5634717
2019-06-18 16:54:26,2019-06-18 17:02:32,0,100,486,1,2019-06-18 17:02:32,R_2QDQD8dhzCnXxUj,anonymous,EN,47,1,,1,,1,,-27,-50,1,1,1,1,7,7,7,7,1,2,1,1,7,7,7,7,6,5,6,6,6,4,3,2,2,2,3,2,12,8,13,9,9,13,10,9,13,8,12,9,13,11,11,11,11,11,5,6,6,6,0,4,4,2,6,-96,5,4,7,5,-18,6,7,6,4,-100,1,4,6,6,4,6,0,3,5,4,4,2,6,0,1,6,4,4,7,6,61,2,5,1,7,4,4,58,7,pizza,,0,15,6189494
2019-06-18 16:51:17,2019-06-18 17:02:38,0,100,681,1,2019-06-18 17:02:38,R_22DmsQGbptJZF9Y,anonymous,EN,39,1,,1,,6,,-17,-39,3,2,1,1,7,7,2,6,1,7,1,1,6,7,6,6,6,6,7,6,6,7,7,5,4,3,4,3,9,13,8,12,9,10,12,11,10,13,14,14,13,14,12,10,10,12,5,5,6,3,20,1,6,7,5,20,7,7,1,6,19,3,1,1,7,40,3,4,7,6,4,5,20,2,4,1,7,7,6,20,2,1,7,7,1,6,17,1,1,2,1,1,7,21,7,Steamed clams,,1,5,1237778
2019-06-18 16:50:50,2019-06-18 17:02:40,0,100,709,1,2019-06-18 17:02:40,R_1GZBRLhMuD4V6bP,anonymous,EN,34,1,,1,,2,,-50,-50,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,7,7,7,7,7,7,5,5,6,6,4,4,14,8,12,8,8,14,9,8,14,8,8,8,13,8,9,8,14,14,7,7,5,6,0,3,5,5,3,100,6,7,6,1,100,1,5,1,6,100,3,4,7,7,3,7,0,2,4,3,5,6,2,-60,1,1,7,7,7,1,-100,1,1,1,6,1,7,-100,7,Pizza,,1,22,3158763
2019-06-18 16:51:43,2019-06-18 17:02:45,0,100,662,1,2019-06-18 17:02:46,R_Om46L8jfRZUGGe5,anonymous,EN,34,1,,1,,6,,-50,-50,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,6,5,5,6,4,5,2,4,5,3,3,3,13,9,14,9,9,13,9,8,14,8,12,9,13,10,9,9,13,13,7,7,1,6,-79,7,1,1,7,-100,1,3,6,2,-21,6,7,7,1,-100,1,4,6,7,1,6,-18,3,4,7,1,1,7,59,1,1,1,2,6,2,9,2,4,1,6,7,5,80,7,alfredo,,0,1,7747174
2019-06-18 16:48:41,2019-06-18 17:03:02,0,100,861,1,2019-06-18 17:03:03,R_3ea8gUpu1irWUIh,anonymous,EN,46,1,,1,,7,,9,-37,1,2,2,1,6,6,6,6,3,1,2,3,6,6,6,5,6,5,6,6,6,6,2,6,3,2,3,4,11,12,10,10,10,13,10,9,13,11,12,10,13,11,12,9,13,13,2,6,6,6,-22,3,3,3,5,-41,5,6,6,2,-21,3,2,3,6,-10,1,5,3,6,6,2,0,3,6,5,5,3,5,7,1,3,3,6,6,3,0,2,2,2,3,3,5,-1,6,Pork ribs,,0,1,9295241
2019-06-18 16:51:53,2019-06-18 17:03:24,0,100,690,1,2019-06-18 17:03:24,R_z9ht0qlIUNvHv5T,anonymous,EN,31,2,,2,,5,,-50,-50,1,1,7,1,7,7,7,7,1,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,14,13,10,8,8,14,8,8,14,8,8,10,8,12,13,13,11,11,1,3,7,1,100,1,7,7,1,100,2,3,3,4,-100,3,7,7,1,100,3,7,1,3,7,1,-9,2,9,1,7,7,1,100,1,7,1,1,3,3,-100,1,7,7,7,7,1,-100,5,"spaghetti ","This was fun, thank you!",1,7,1939336
2019-06-18 16:50:16,2019-06-18 17:03:28,0,100,791,1,2019-06-18 17:03:28,R_snvYjogbW6aAyl3,anonymous,EN,55,1,,1,,6,,4,-8,2,2,3,2,6,6,7,7,2,2,2,2,6,6,6,6,4,5,3,3,3,3,2,1,5,1,2,2,13,11,10,8,9,12,9,8,13,10,9,9,12,9,9,9,12,12,5,6,3,5,18,5,4,3,5,47,6,6,5,3,24,2,3,3,6,-16,3,4,6,6,3,3,24,2,4,6,5,2,6,17,2,2,6,6,6,3,15,1,1,2,5,6,6,-16,7,Bacon,,1,5,1140974
2019-06-18 16:52:18,2019-06-18 17:03:28,0,100,670,1,2019-06-18 17:03:29,R_1IQtgnXOHODYLue,anonymous,EN,41,2,,1,,7,,-39,-50,2,3,3,2,6,3,6,5,2,2,2,2,6,6,6,6,6,6,7,6,7,7,7,6,7,7,4,4,10,10,9,10,9,13,13,12,12,10,12,13,12,12,10,10,13,13,2,6,3,6,90,3,2,6,1,70,5,6,2,5,70,1,3,6,3,80,3,7,3,6,3,2,-60,2,5,3,3,6,2,-80,2,2,5,6,3,5,-40,1,3,2,5,6,3,-75,5,Artichokes and feta,,1,13,8322076
2019-06-18 16:49:58,2019-06-18 17:03:45,0,100,827,1,2019-06-18 17:03:46,R_3qa2SF8s3Z6pExr,anonymous,EN,65,2,,1,,1,,-50,-50,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,7,7,7,7,7,7,6,6,6,6,5,5,8,8,10,11,14,14,11,11,14,8,12,12,14,12,8,8,14,14,4,7,2,2,-21,7,1,1,7,-100,7,7,7,4,99,3,6,7,5,-100,1,4,5,7,2,2,0,3,4,7,2,1,7,-100,1,1,6,7,7,5,8,2,1,2,6,7,3,3,8,pizza,,0,16,8027839
2019-06-18 16:50:15,2019-06-18 17:03:57,0,100,822,1,2019-06-18 17:03:57,R_2tgUCgdV3oQY8Aq,anonymous,EN,57,2,,1,,5,,-11,-10,1,1,4,1,6,7,7,7,1,1,2,2,7,7,7,6,6,5,5,5,5,5,3,2,2,4,3,3,11,9,11,9,11,11,12,9,13,12,9,9,13,9,9,9,13,12,4,2,5,4,51,4,4,4,4,-38,6,6,5,4,44,2,6,4,6,27,3,4,3,4,5,6,32,2,7,2,7,6,2,0,1,4,4,4,4,4,0,1,1,2,6,6,6,48,7,pizza,Thank you!,1,2,9738172
2019-06-18 16:55:32,2019-06-18 17:04:04,0,100,511,1,2019-06-18 17:04:04,R_1rc7oTwx1SGbGtn,anonymous,EN,36,2,,1,,1,,0,0,2,2,2,2,6,6,6,6,2,2,2,2,6,6,6,6,6,5,5,5,5,5,4,5,5,5,4,4,12,10,10,12,10,10,13,13,10,13,13,12,12,12,10,12,12,12,6,4,3,5,19,5,5,3,5,-11,5,5,5,5,-12,3,5,4,5,19,3,7,6,6,3,3,18,2,7,6,5,3,3,-29,1,3,5,3,6,3,-23,1,5,3,6,3,5,43,7,popcorn,,1,19,3896001
2019-06-18 16:54:09,2019-06-18 17:04:04,0,100,595,1,2019-06-18 17:04:05,R_qDQhAUF5TVB0zGV,anonymous,EN,33,2,,1,,5,,-46,-50,1,1,1,1,7,7,6,7,1,1,1,1,7,7,7,7,6,6,6,6,6,6,5,5,4,4,4,3,10,12,10,10,12,12,12,10,11,12,9,9,12,12,9,11,12,12,4,4,5,5,0,2,5,5,5,-11,3,5,7,4,0,5,6,5,2,0,1,6,5,5,5,5,-3,3,6,3,5,5,5,0,1,3,6,5,6,5,0,2,3,5,5,5,2,0,9,Phad Thai,Thank you!,0,19,4843929
2019-06-18 16:52:44,2019-06-18 17:04:12,0,100,688,1,2019-06-18 17:04:13,R_2v8JiEGcNZK3wlw,anonymous,EN,21,2,,2,,6,,12,-20,4,4,6,6,4,6,5,6,5,6,5,5,4,4,6,6,6,5,4,5,5,6,4,5,5,6,4,2,12,11,12,12,13,13,13,12,11,11,11,12,12,12,13,13,12,11,4,5,5,5,45,6,5,4,5,-25,5,5,6,5,42,6,6,6,5,32,3,8,4,6,6,6,23,2,5,5,5,6,5,47,2,4,6,5,4,5,70,1,6,4,5,4,5,26,8,pizza,,1,8,938260
2019-06-18 16:51:47,2019-06-18 17:04:40,0,100,773,1,2019-06-18 17:04:41,R_2EovVE94vwfDQV8,anonymous,EN,36,1,,1,,7,,-11,-37,3,4,5,5,4,5,5,5,5,3,5,3,6,5,5,5,5,3,2,3,3,2,1,4,6,3,2,2,10,12,9,9,11,13,13,8,9,8,9,12,11,10,12,10,9,13,6,7,3,2,-78,2,4,6,5,-31,3,5,6,5,-21,4,6,6,4,-45,3,8,6,5,2,6,-57,3,8,3,5,6,4,-39,1,3,6,4,6,5,9,2,3,2,5,3,3,49,8,Hamburgers,,0,1,239238
2019-06-18 16:48:29,2019-06-18 17:04:41,0,100,972,1,2019-06-18 17:04:42,R_1PR9BRxEH8fYDyQ,anonymous,EN,51,2,,1,,1,,-21,-50,1,2,2,1,7,6,6,4,1,1,2,1,6,7,7,6,6,5,6,6,5,5,5,4,5,4,3,3,14,8,13,9,9,13,9,8,14,8,9,9,11,10,12,12,13,14,3,3,5,6,10,3,5,5,2,19,6,4,6,5,75,2,5,5,4,38,3,6,4,3,5,5,-23,2,5,2,5,5,3,-43,2,5,4,3,6,3,-74,1,3,3,5,6,5,-25,7,ice cream,,1,14,2698684
2019-06-18 16:52:49,2019-06-18 17:04:53,0,100,723,1,2019-06-18 17:04:53,R_22WY1JmE5C3n812,anonymous,EN,38,2,,4,,6,,-12,-40,2,2,2,2,6,7,6,6,2,2,1,2,7,7,7,6,5,4,5,5,5,5,3,4,6,5,3,3,9,9,9,9,11,12,12,11,11,12,12,10,11,12,10,12,12,12,7,7,3,5,-42,3,5,3,6,-40,5,4,7,5,0,4,6,6,2,-59,1,5,7,6,2,3,0,3,4,2,5,5,6,0,1,4,5,5,7,5,47,2,4,2,4,4,5,54,6,pizza,,0,14,5353028
2019-06-18 16:53:27,2019-06-18 17:05:02,0,100,694,1,2019-06-18 17:05:02,R_beiebGQ9l98AdSp,anonymous,EN,27,2,,1,,1,,-30,-50,1,2,3,1,7,6,6,5,2,1,2,3,6,6,6,6,6,5,6,7,7,7,5,5,5,5,5,5,13,8,10,8,9,14,13,12,14,8,9,12,13,12,10,12,14,14,1,1,6,7,0,6,7,6,3,-20,6,3,3,3,10,6,6,6,2,70,1,4,1,1,6,6,0,3,4,6,6,3,2,-24,1,5,6,5,3,5,59,2,5,1,3,6,3,-70,8,Pizza,This was a very interesting study! Good luck with your research.,0,18,1284051
2019-06-18 16:53:19,2019-06-18 17:05:06,0,100,706,1,2019-06-18 17:05:06,R_3PsOo1WzmM9jtnM,anonymous,EN,50,2,,1,,6,,-47,-48,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,5,5,4,4,4,4,2,3,2,3,3,3,13,9,12,11,9,13,10,10,13,9,10,12,12,11,10,10,12,12,6,6,2,2,-63,5,3,3,6,-69,4,4,5,5,-12,4,5,5,3,-64,1,6,6,6,2,3,0,3,5,5,3,3,5,0,1,2,4,4,5,5,41,2,5,2,4,4,3,40,7,ice cream,,0,22,734866
2019-06-18 16:55:23,2019-06-18 17:05:17,0,100,594,1,2019-06-18 17:05:18,R_3hhYyezta08KnzU,anonymous,EN,39,2,,4,,1,,-18,-34,1,1,1,1,7,7,1,7,1,1,1,1,7,7,7,7,6,4,5,4,5,4,3,5,7,5,4,2,13,9,13,9,10,13,12,9,13,9,9,9,12,12,12,12,12,12,5,6,5,6,-39,6,2,2,6,-80,6,6,5,5,47,2,6,3,6,-62,1,4,6,6,5,5,20,3,4,6,2,2,6,52,1,1,6,6,6,2,0,2,1,2,6,3,6,37,9,pizza,,0,7,1966643
2019-06-18 16:53:09,2019-06-18 17:05:27,0,100,737,1,2019-06-18 17:05:27,R_2UhzX62JZcj01h8,anonymous,EN,39,2,,1,,5,,-47,-50,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,4,6,7,5,5,5,5,2,5,2,3,4,14,8,14,8,11,14,8,8,14,8,9,10,12,12,12,12,14,12,6,7,1,4,-96,4,4,4,5,-100,5,4,7,5,-100,5,6,5,5,-100,1,4,6,7,1,4,100,3,5,4,4,4,4,87,1,1,5,4,7,5,94,2,1,4,6,5,4,100,7,Apricots,"This was interesting and made me think about my own personal biases, thank you for the opportunity to participate in your study. ",0,7,6222293
2019-06-18 16:54:25,2019-06-18 17:05:35,0,100,670,1,2019-06-18 17:05:35,R_0V5l5cf3ARZht7j,anonymous,EN,48,1,,1,,6,,-44,-50,1,2,2,1,6,6,5,6,2,3,3,3,6,5,6,5,6,5,5,5,6,6,5,4,5,3,4,3,10,12,10,10,12,12,13,10,10,8,12,12,12,12,10,10,14,13,4,6,5,5,-63,6,2,3,4,-78,3,5,6,3,-45,3,5,6,5,-65,1,7,5,6,5,6,63,3,7,5,3,3,3,20,1,4,5,5,6,2,48,2,4,2,6,5,6,67,6,Pizza,Thank you for allowing me to participate,0,22,4234110
2019-06-18 16:57:43,2019-06-18 17:05:37,0,100,474,1,2019-06-18 17:05:38,R_1qam7D731wCJZem,anonymous,EN,32,1,,1,,7,,-28,-30,1,1,1,1,7,7,6,1,1,1,1,6,7,7,7,7,6,6,7,5,6,6,2,6,4,3,3,5,13,9,13,8,8,13,8,8,14,8,8,8,8,8,8,8,8,8,1,7,6,1,72,1,7,7,1,0,6,6,7,7,0,1,7,7,6,0,3,4,7,7,7,7,0,2,4,1,7,7,1,0,1,1,7,7,7,7,0,2,1,1,7,7,7,0,7,Pizza,,1,6,1221958
2019-06-18 16:52:42,2019-06-18 17:05:43,0,100,780,1,2019-06-18 17:05:43,R_WvqC8p1il3ruCtz,anonymous,EN,40,1,,1,,7,,-45,-37,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,4,4,5,5,4,4,2,3,4,3,3,3,13,9,11,9,9,13,9,9,13,9,13,13,13,13,13,13,13,13,6,6,4,6,0,4,4,4,4,0,2,4,6,2,0,2,6,6,2,0,1,4,6,6,2,6,0,2,4,4,4,4,4,0,1,1,2,6,6,2,0,1,1,2,6,6,4,0,6,Tacos,,1,18,7567006
2019-06-18 16:50:53,2019-06-18 17:05:45,0,100,891,1,2019-06-18 17:05:45,R_3MGbjw7yBNvP07C,anonymous,EN,36,2,,1,,6,,-12,-36,2,4,4,2,7,7,6,6,1,1,2,2,7,6,7,6,7,5,6,6,6,7,6,5,4,4,5,5,13,9,10,9,10,13,10,10,13,9,12,12,13,13,12,12,13,13,2,6,5,7,35,1,6,7,2,0,5,5,7,4,10,2,5,5,6,20,3,6,3,5,5,7,10,2,5,1,5,6,5,0,2,4,5,5,7,4,-20,1,7,3,5,6,6,-70,7,sushi,,1,18,8068983
2019-06-18 16:54:37,2019-06-18 17:05:49,0,100,671,1,2019-06-18 17:05:49,R_3kjC16viGB3Kyhr,anonymous,EN,28,2,,2,,7,,-50,-50,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,6,7,6,6,6,6,5,5,5,4,4,3,10,9,13,9,9,13,9,9,9,10,12,9,14,14,14,13,14,14,5,7,3,5,-70,4,2,2,5,-78,2,3,6,3,-64,5,6,6,1,-100,1,6,5,7,3,2,24,3,7,5,3,2,5,17,1,3,3,5,6,4,58,2,7,1,5,5,2,100,7,Brie,,0,12,4795764
